Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L190922A,Halloween Crown,,,,,Alloy/Resin/Plastic/ABS,4, PVC Box,1,,,,,
HP-L190922B,Halloween Crown,,,,,Alloy/Resin/Plastic/ABS,10.73, PVC Box,1,,,,,
HP-L190922C,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,1.7,,1,,,,,
HP-L190922D,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.6,,1,,,,,
HP-L190922D-Set,Halloween necklace & bracelet,,,,,Alloy/Resin/Plastic/ABS,9.1,,1,,,,,
HP-L190922E,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,2.93,,1,,,,,
HP-L190922F-Set,Halloween necklace & bracelet,36,10,1.3,,Alloy/Resin/Plastic/ABS,9.1,,1,,,,,
HP-L190923,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.3,,1,,,,,
HP-L190924,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L190924A,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,1.96,,1,,,,,
HP-L190924B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L190924C,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,4.16,,1,,,,,
HP-L190924D,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.6,,1,,,,,
HP-L190924E,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.99,,1,,,,,
HP-L190924F,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.9,,1,,,,,
HP-L190924G,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,4.1,,1,,,,,
HP-L190924H,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,4.94,,1,,,,,
HP-L190924i,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,4.81,,1,,,,,
HP-L190924J,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,3.32,,1,,,,,
HP-L190925,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L190926,Mermaid necklace,39,,,N,Plastic/Resin/ABS,3.78,,1,,,,,
